,Position,Track Name,Artist,URL,Filename,Month,Week Number,Type,Date
42,43,Mi Cuarto,Jerry Di,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ,viral-us-weekly-2020-09-17--2020-09-17.csv,September,38,Viral 50,2020-09-17
43,44,Promises,Maverick City Music,https://open.spotify.com/track/0aZFEiDKLK2B4gzPaGCZVm,viral-us-weekly-2020-09-17--2020-09-17.csv,September,38,Viral 50,2020-09-17
44,45,Lemon (feat. Method Man),Conway the Machine,https://open.spotify.com/track/5MurVzJcSmQ6f7BI6qnv6o,viral-us-weekly-2020-09-17--2020-09-17.csv,September,38,Viral 50,2020-09-17
45,46,Hai Domo,Cao White,https://open.spotify.com/track/5vOwis62qEz4avzkppHHL5,viral-us-weekly-2020-09-17--2020-09-17.csv,September,38,Viral 50,2020-09-17
46,47,Kilby Girl,The Backseat Lovers,https://open.spotify.com/track/1170VohRSx6GwE6QDCHPPH,viral-us-weekly-2020-09-17--2020-09-17.csv,September,38,Viral 50,2020-09-17
47,48,Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz,viral-us-weekly-2020-09-17--2020-09-17.csv,September,38,Viral 50,2020-09-17
48,49,DDLG,ppcocaine,https://open.spotify.com/track/42dtq3bqOCzD0L2kITk4Dp,viral-us-weekly-2020-09-17--2020-09-17.csv,September,38,Viral 50,2020-09-17
49,50,Midnight Sky,Miley Cyrus,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB,viral-us-weekly-2020-09-17--2020-09-17.csv,September,38,Viral 50,2020-09-17
0,1,No Wind Resistance!,Kinneret,https://open.spotify.com/track/78Vm1H6bT8WQyPNyx7HBhP,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
1,2,Put Your Records On,Ritt Momney,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
2,3,M to the B,Millie B,https://open.spotify.com/track/1meosvrJFk4xXo1HwUIasC,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
3,4,F-150,Robyn Ottolini,https://open.spotify.com/track/0JSxnF1JmC8LblMhrovm6K,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
4,5,Mad at Disney,salem ilese,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
5,6,Lets Link,WhoHeem,https://open.spotify.com/track/6fMzgFFGzWCwiHMzDzNpp5,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
6,7,"Edge of Great (feat. Madison Reyes, Charlie Gillespie, Owen Patrick Joyner & Jeremy Shada)",Julie and the Phantoms Cast,https://open.spotify.com/track/1e2ofLpE40cjEeMENP7pzv,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
7,8,This Side of Paradise,Coyote Theory,https://open.spotify.com/track/3sgf2a905hjZ81tXYytY6i,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
8,9,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
9,10,You Got It,Vedo,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
10,11,September,"Earth, Wind & Fire",https://open.spotify.com/track/4f2GB5ZC7vOUYPAg69N2Xw,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
11,12,Upside Down,JVKE,https://open.spotify.com/track/614OkajfRPH8V0ugNQnduP,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
12,13,Throat Baby (Go Baby),BRS Kash,https://open.spotify.com/track/31iqpzg1ZXLLgq0L5iIwLe,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
13,14,THICK,DJ Chose,https://open.spotify.com/track/0YYNIGKgAk34vZkV2NySie,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
14,15,Whole Lotta Choppas,Sada Baby,https://open.spotify.com/track/6hLZzCS4E7AWo3PRBWy6az,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
15,16,Mood (feat. iann dior),24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
16,17,Daisy,Ashnikko,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
17,18,Michelle,Sir Chloe,https://open.spotify.com/track/3sa1wUB8FAkoH95MGPGBWI,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
18,19,Stuck in the Middle,Tai Verdes,https://open.spotify.com/track/2HQPOVBAOU2EBTy1nBGRiW,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
19,20,Jerusalema (feat. Nomcebo Zikode),Master KG,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
20,21,Onna Come Up,Lil Eazzyy,https://open.spotify.com/track/0s8QrhtXW1Av2tuLLerDjN,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
21,22,Starting Over,Chris Stapleton,https://open.spotify.com/track/3TNSVsiFngfe68UJpMq1oS,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
22,23,WAP (feat. Megan Thee Stallion),Cardi B,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
23,24,GIVE HEAVEN SOME HELL,HARDY,https://open.spotify.com/track/2bVeUlOC5JjTpkQXuUUoYm,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
24,25,Dynamite,BTS,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
25,26,BOYFRIEND,HARDY,https://open.spotify.com/track/5M8ExcJIACOWCEgPfNZNn8,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
26,27,24 (feat. Lil Baby),Money Man,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
27,28,Ashes,Stellar,https://open.spotify.com/track/2NeyJbL3ROKCjRkAjs77ya,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
28,29,Overwhelmed,Royal & the Serpent,https://open.spotify.com/track/5jjZikDrEd0by1o7V3fO4y,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
29,30,Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money,https://open.spotify.com/track/7dH9TPjTWQ60wOJkmYay8a,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
30,31,Things A Man Oughta Know,Lainey Wilson,https://open.spotify.com/track/7cwKO3SvjCpTyLiIWfnxpx,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
31,32,Heather,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
32,33,Head & Heart (feat. MNEK),Joel Corry,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
33,34,"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",Saweetie,https://open.spotify.com/track/5woaU1FNkqCwg6WzWiQPW5,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
34,35,Pegao / Me Miro y La Mire (TikTok Hit),Omega,https://open.spotify.com/track/4Pzk85DqWoLqptyA5IlhLk,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
35,36,Ice Cream (with Selena Gomez),BLACKPINK,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
36,37,Eyes Blue Like The Atlantic (feat. Subvrbs),Sista Prod,https://open.spotify.com/track/0qUcpOOna3kkrwfqky85e1,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
37,38,Nightlight,ILLENIUM,https://open.spotify.com/track/06kxa3al7bUqRRo5nAFduZ,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
38,39,Mr Loverman,Ricky Montgomery,https://open.spotify.com/track/0MF5QHFzTUM2dYm6J7Vngt,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
39,40,Hawái,Maluma,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
40,41,Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
41,42,Don't Need Time - Remix,Hotboii,https://open.spotify.com/track/43LKpvgZhQ7HwFYYKxqDki,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
42,43,Funny Thing,Thundercat,https://open.spotify.com/track/1c5CllrZr45UBhWpIqM332,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
43,44,冬のはなし,ギヴン,https://open.spotify.com/track/3VrKkcEm7RYXBI9RLv7SL7,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
44,45,F2020,Avenue Beat,https://open.spotify.com/track/7opTGnWVJcm1e5mWWOldpg,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
45,46,ALL GIRLS ARE THE SAME,RØNIN,https://open.spotify.com/track/4xhWfr0tyA7BGL7eXo8KnV,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
46,47,Wrap Me In Plastic - Marcus Layton Radio Edit,CHROMANCE,https://open.spotify.com/track/3n2P3ipLt5mPFVaM0fJHNR,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
47,48,People So Stupid,Tom MacDonald,https://open.spotify.com/track/3rjJAqZWPjDhsTkCmc2HcY,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
48,49,Mi Cuarto,Jerry Di,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
49,50,Promises,Maverick City Music,https://open.spotify.com/track/0aZFEiDKLK2B4gzPaGCZVm,viral-us-weekly-2020-09-24--2020-09-24.csv,September,39,Viral 50,2020-09-24
0,1,E-GIRLS ARE RUINING MY LIFE!,CORPSE,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
1,2,Trump Is Your President,Bryson Gray,https://open.spotify.com/track/3PdQfXbIuEjUoNlCy6JQCM,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
2,3,Die Very Rough,Mario Judah,https://open.spotify.com/track/1AyrLa7PkFQvt1A6XQY3ff,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
3,4,Touch You,遠野高志,https://open.spotify.com/track/6qWEpnyU43Bcrx3vfbGuVm,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
4,5,Monster Mash,"Bobby ""Boris"" Pickett",https://open.spotify.com/track/0xxZY5C9xxij3D1HkzbnfC,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
5,6,Whoopty,CJ,https://open.spotify.com/track/1RSzyxqtIO4yX3EyiV4zT5,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
6,7,Deep End,Fousheé,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
7,8,HIT EM WHERE IT HURTS,PawPaw Rod,https://open.spotify.com/track/63e35wfL6GMUp0boIvNBhw,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
8,9,Drip Like ME,Kenndog,https://open.spotify.com/track/5lNsNowjCKqgafSWE7Ie2Z,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
9,10,moment,Vierre Cloud,https://open.spotify.com/track/2JKIYl8KaAMzOR1dIzEO5f,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
10,11,Dirt Road,Kidd G,https://open.spotify.com/track/3azaE9S4YBYOuKmZu2TZrV,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
11,12,"Spooky, Scary Skeletons - Undead Tombstone Remix",Andrew Gold,https://open.spotify.com/track/1sUdq3kWa9dJXHu3eYOUll,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
12,13,This Is Halloween,The Citizens of Halloween,https://open.spotify.com/track/0yURuYmnz9tl4K04e5Y6aQ,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
13,14,Cat Girls Are Ruining My Life!,CORPSE,https://open.spotify.com/track/4SPBwOTXgku4QvmRtMEGfW,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
14,15,Miss YOU!,CORPSE,https://open.spotify.com/track/3pXVmZh293nWtqxildz9jf,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
15,16,Astronaut In The Ocean,Masked Wolf,https://open.spotify.com/track/0jdso14vaFnpRazMLEZovF,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
16,17,The Crypt Jam,The Crypt Keeper,https://open.spotify.com/track/21zjT55VHzq3PHc2CQlAeJ,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
17,18,Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
18,19,Ghostbusters,Ray Parker Jr.,https://open.spotify.com/track/6thXB4RmajS4oZPNiBAKy0,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
19,20,Papi Chulo,Octavian,https://open.spotify.com/track/6Juv5N0dNU1imms9c9u1dA,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
20,21,Put Your Records On,Ritt Momney,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
21,22,FDT,YG,https://open.spotify.com/track/6k0DJqW2v2e4809Z1zN0YU,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
22,23,Halloween Theme - Main Title,John Carpenter,https://open.spotify.com/track/7swocJUCUWTCiRUAU9oerC,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
23,24,No Eres La Oficial,David Santos,https://open.spotify.com/track/7LYWPZL216dyiN02mjefro,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
24,25,Time Warp,Little Nell,https://open.spotify.com/track/4WFeJTXNHIS2wURtwlAkhu,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
25,26,Pull Up,LMB DG,https://open.spotify.com/track/6NwyHRfUVnUBUZW9W5McAZ,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
26,27,Gone Too Soon,Andrew Jannakos,https://open.spotify.com/track/07mnxqYqssab1EEBynCuQ4,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
27,28,White Tee,CORPSE,https://open.spotify.com/track/3qdRwIwWa5nVZnNp43uYrx,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
28,29,Never Satisfied,CORPSE,https://open.spotify.com/track/04bEhujOxzNrXeideMtFuR,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
29,30,Demons and Monsters,347aidan,https://open.spotify.com/track/6pgSQuEY2hJhRkC4YpZfJQ,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
30,31,Daisy,Ashnikko,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
31,32,Судно (Борис Рижий),Molchat Doma,https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
32,33,A Nightmare on My Street,DJ Jazzy Jeff & The Fresh Prince,https://open.spotify.com/track/2aRjuScpka878tUWOsLYpQ,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
33,34,The Purple People Eater,Sheb Wooley,https://open.spotify.com/track/0WkZQPNC0c7yrsMX1arVAd,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
34,35,I Put a Spell On You,Screamin' Jay Hawkins,https://open.spotify.com/track/3sLhMSePzxSrmxluIqeoAZ,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
35,36,Levitating (feat. DaBaby),Dua Lipa,https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
36,37,夜に駆ける,YOASOBI,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
37,38,Fire for You,Cannons,https://open.spotify.com/track/4o0LyB69tylqDG6eTGhmig,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
38,39,At My Worst,Pink Sweat$,https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
39,40,Throat Baby (Go Baby),BRS Kash,https://open.spotify.com/track/31iqpzg1ZXLLgq0L5iIwLe,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
40,41,Cigarette Ahegao,Penelope Scott,https://open.spotify.com/track/6UYJYgY8VRo6mKrhgTe1CF,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
41,42,Sofia,Clairo,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
42,43,Make A Wish (Birthday Song),NCT U,https://open.spotify.com/track/6FdShjf7nA2cqEnpv1tIia,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
43,44,Everyday Is Like Halloween,Ministry,https://open.spotify.com/track/6qmY21MWIcAEPf9G80wKfb,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
44,45,Susurro Riddim,LASTMONDAY,https://open.spotify.com/track/1mGxiXPxKIuItW4D2eVgjI,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
45,46,Onna Come Up,Lil Eazzyy,https://open.spotify.com/track/3NxFTRr0692mbC5hD0nEZD,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
46,47,Calling All the Monsters,China Anne McClain,https://open.spotify.com/track/0hnHoQbEQOL4YUZ4SO6xbe,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
47,48,Halloween - Mix-O-Lydian 1981,Misfits,https://open.spotify.com/track/5QOvYYp7yRSY6LP7Vm48br,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
48,49,Goosebumps,HVME,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
49,50,"Spooky, Scary Skeletons",Andrew Gold,https://open.spotify.com/track/23V08GxMeaZNSf8Gy6KF6t,viral-us-weekly-2020-11-05--2020-11-05.csv,November,45,Viral 50,2020-11-05
0,1,Gdzie jest biały węgorz ? (Zejście),Cypis,https://open.spotify.com/track/4fNbS43X6yt4iWxLgRqwKa,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
1,2,FDT,YG,https://open.spotify.com/track/6k0DJqW2v2e4809Z1zN0YU,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
2,3,Oh No,Kreepa,https://open.spotify.com/track/4qBMiRsJjtm1WR4KyAQqrX,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
3,4,E-GIRLS ARE RUINING MY LIFE!,CORPSE,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
4,5,Touch You,遠野高志,https://open.spotify.com/track/6qWEpnyU43Bcrx3vfbGuVm,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
5,6,Die Very Rough,Mario Judah,https://open.spotify.com/track/1AyrLa7PkFQvt1A6XQY3ff,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
6,7,Adderall (Corvette Corvette),Popp Hunna,https://open.spotify.com/track/3aAmQOxRPeKDL0HMWFA5qn,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
7,8,Whoopty,CJ,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
8,9,Rät,Penelope Scott,https://open.spotify.com/track/25z6kpmIwkCUqk2IORrJ5v,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
9,10,Fuck Donald Trump,Tamu,https://open.spotify.com/track/00aRveHhOMrCvozhPTKtQj,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
10,11,Deep End,Fousheé,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
11,12,moment,Vierre Cloud,https://open.spotify.com/track/2JKIYl8KaAMzOR1dIzEO5f,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
12,13,HIT EM WHERE IT HURTS,PawPaw Rod,https://open.spotify.com/track/63e35wfL6GMUp0boIvNBhw,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
13,14,Don't Worry (Clappers),Slimelife Shawty,https://open.spotify.com/track/5LRKPn8fgSZT5e4YHDWng3,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
14,15,Drip Like ME,Kenndog,https://open.spotify.com/track/5lNsNowjCKqgafSWE7Ie2Z,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
15,16,FDT - Pt. 2,YG,https://open.spotify.com/track/6ZcCLhMqQEZEzsDhhS767O,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
16,17,Took Her To The O,King Von,https://open.spotify.com/track/7fEoXCZTZFosUFvFQg1BmW,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
17,18,Canceled,Larray,https://open.spotify.com/track/3VxOgQ9o1aKonFx4d5lPR3,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
18,19,Trump Is Your President,Bryson Gray,https://open.spotify.com/track/3PdQfXbIuEjUoNlCy6JQCM,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
19,20,No Eres La Oficial,David Santos,https://open.spotify.com/track/7LYWPZL216dyiN02mjefro,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
20,21,Producer Man,Lyn Lapid,https://open.spotify.com/track/5BArc3UpONi77FMkNT4LYU,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
21,22,Dirt Road,Kidd G,https://open.spotify.com/track/3azaE9S4YBYOuKmZu2TZrV,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
22,23,Goosebumps,HVME,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
23,24,Astronaut In The Ocean,Masked Wolf,https://open.spotify.com/track/0jdso14vaFnpRazMLEZovF,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
24,25,You’re Mines Still (feat. Drake),Yung Bleu,https://open.spotify.com/track/7E2C5rBLpCKwQlhJPVFBRS,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
25,26,Papi Chulo,Octavian,https://open.spotify.com/track/6Juv5N0dNU1imms9c9u1dA,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
26,27,Lonely (with benny blanco),Justin Bieber,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
27,28,Deep End - SIDEPIECE Remix,John Summit,https://open.spotify.com/track/5WNa0eaGNwQ1ZXTHVlULpd,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
28,29,Miss YOU!,CORPSE,https://open.spotify.com/track/3pXVmZh293nWtqxildz9jf,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
29,30,Cigarette Ahegao,Penelope Scott,https://open.spotify.com/track/6UYJYgY8VRo6mKrhgTe1CF,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
30,31,Cat Girls Are Ruining My Life!,CORPSE,https://open.spotify.com/track/4SPBwOTXgku4QvmRtMEGfW,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
31,32,Put Your Records On,Ritt Momney,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
32,33,Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz,viral-us-weekly-2020-11-12--2020-11-12.csv,November,46,Viral 50,2020-11-12
